행정구역	취급품목	정책내용	기간	장소	정보일자	비고
구로구	투명페트병, 알루미늄 캔(무인)	구로구 투명페트병, 알루미늄 캔 무인 회수기 운영  투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 모바일 캐시비 앱 또는 캐시비 실물 카드를 통해 바로 적립 ⦁ 1인 1일 최대 20개	상시 이용가능	신도림동, 구로3동, 개봉1동, 고척2동, 오류1동 주민센터 5개소	2023.09	캐시비교통카드 또는 휴대폰(캐시비 어플)을 홀더에 올려놓고 시작버튼을 누른 후, 캔, 투명페트병을 가로로 1개씩 투입하고 종료버튼을 누르세요.
금천구	투명 페트병	투명페트병 1kg 당 ⇔ 화장지 1롤 또는 종량제 봉투 1매 ⦁ 내용물을 비우고 헹구어 라벨 제거 후 뚜껑을 닫아 압축하여 제출 ⦁ 유색 페트병, 일회용 플라스틱 컵 등 제외 ⦁ 제출 개수 제한없음 ⦁ 기후 상황에따라 미운영 가능	2024.03~11 매주 목요일 10:00~16:00 (7~8월은 9:30~12:00)	금천구청 광장 무인 회수기 앞	2024.06	금천 에코자원 교환샵 라고 명칭
금천구	알루미늄 캔	알루미늄 캔 0.5kg 당 ⇔ 화장지 1롤 또는 종량제 봉투 1매 ⦁ 내용물을 비우고 헹군 후 압축하여 제출 ⦁ 통조림 캔 류 수거불가 ⦁ 1인 1일 최대 보상품 3개까지 교환가능 (투명 페트병은 개수제한 없음) ⦁ 기후 상황에따라 미운영 가능	2024.03~11 매주 목요일 10:00~16:00 (7~8월은 9:30~12:00)	금천구청 광장 무인 회수기 앞	2024.06	
금천구	종이팩	종이팩 1kg 당 ⇔ 화장지 1롤 또는 종량제 봉투 1매 ⦁내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 재활용 가능 표시 종이팩 모두 수거가능  ⦁ 1인 1일 최대 보상품 3개까지 교환가능 (투명 페트병은 개수제한 없음) ⦁ 기후 상황에따라 미운영 가능	2024.03~11 매주 목요일 10:00~16:00 (7~8월은 9:30~12:00)	금천구청 광장 무인 회수기 앞	2024.06	
금천구	폐건전지	 건전지(규격무관), 보조배터리 등 건전지 0.5kg당 ⇆  화장지 1롤 또는 종량제 봉투 1매 ⦁전해액이 나온 건전지는 수거불가 ⦁ 1인 1일 최대 보상품 3개까지 교환가능 (투명 페트병은 개수제한 없음) ⦁ 기후 상황에따라 미운영 가능	2024.03~11 매주 목요일 10:00~16:00 (7~8월은 9:30~12:00)	금천구청 광장 무인 회수기 앞	2024.06	
금천구	투명페트병, 알루미늄 캔(무인)	금천구 투명페트병, 알루미늄 캔 무인 회수기 운영  투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 라벨을 제거한 식음료 병만 수거 가능(워셔액 등이 담겼던 병은 수거불가) ⦁ 캔의 경우 음주류 캔만 수거가능(통조림 캔, 부탄가스, 분유통 등 수거불가) ⦁ 모바일 캐시비 앱 또는 캐시비 실물 카드를 통해 바로 적립	상시 이용가능 (롯데마트 금천점에 설치된 기기는 마트 운영시간에만 이용가능)	동 주민센터 7개를 포함한 14개소, 첨부 링크 확인	2023.07	https://www.geumcheon.go.kr/portal/selectBbsNttView.do?key=297&bbsNo=8&nttNo=244629
노원구	종이팩	종이팩 1kg 당 ⇔ 화장지 1롤 ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	평일 10:00 ~ 16:00 (점심시간12:00~ 13:00)	각 동 주민센터 및 노원구 리사이클링 마켓	2023.03	
노원구	폐건전지	폐건전지 10개 당 ⇔ 새건전지 1개 ⦁단추형 제외, 1인 1회 새건전지 20개 제한	평일 10:00 ~ 16:00 (점심시간12:00~ 13:00)	노원구 리사이클링 마켓	2023.03	
노원구	투명페트병, 알루미늄 캔(무인)	노원구 투명페트병, 알루미늄 캔 무인 회수기 운영  투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 모바일 캐시비 앱 또는 캐시비 실물 카드를 통해 바로 적립 ⦁ 1인 1일 최대 20개	매일 7:00~21:00, 공릉2동주민센터(평일 9:00~20:00)	수락 행복발전소, 노원구청, 중계근린공원, 노원 어린이도서관, 하계2동주민센터, 하계2월계보건지소, 공릉2동주민센터	구청 메뉴	캐시비교통카드 또는 휴대폰(캐시비 어플)을 홀더에 올려놓고 시작버튼을 누른 후, 캔, 투명페트병을 가로로 1개씩 투입하고 종료버튼을 누르세요.
도봉구	종이팩	종이팩 1.5kg 당 ⇔ 화장지 1롤 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출	연중	동 주민센터	2024.02	
도봉구	폐휴대폰	폐휴대폰 1개 당 ⇔ 종량제봉투(10ℓ) 3매	연중	동 주민센터	2024.02	
도봉구	보조배터리	보조배터리 1개 당 ⇔ 종량제봉투(10ℓ) 1매	연중	동 주민센터	2024.02	
도봉구	폐건전지	폐건전지 10개 당 ⇔  종량제봉투(10ℓ) 1매 ⦁ 종류무관 ⦁ 1인 1일 최대 30개 제출가능 ⦁ 녹슬거나 전해액이 흐르는 폐건전지는 제출불가	연중	동 주민센터	2024.02	
도봉구	종이팩, 투명페트병(무인)	도봉구 종이팩, 투명페트병 무인 회수기 운영 종이팩, 투명페트병 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출  ⦁ 투명페트병의 경우 라벨을 제거하여 제출 ⦁ 오늘의 분리수거 앱 다운로드 후 이용		동 주민센터 및 새활용 플라자	2023.01	
동대문구	종이팩	500ml이하 20장 또는 500ml초과 10장 당 ⇔ 종량제봉투(10ℓ) 1매 (수거량에 따라 10ℓ/20ℓ 선택가능) ⦁ 멸균팩 수거가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 1인당 1일 최대 종량제 봉투 4장까지 교환가능	매주 월 13:00~17:00, 교환물품 소진시 까지 운영	동대문종합사회복지관 1층	2023.02	
동대문구	투명페트병(무인)	동대문구 투명페트병 무인회수기 운영 투명페트병 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 투명페트병의 라벨을 제거하여 제출 ⦁ 파워크러시 앱 다운로드 후 이용 ⦁ 2000포인트부터 현금출금 가능	24시간 운영	구청사외부(은행방향), 동대문종합사회복지관, 이문체육문화센터, 동대문구체육센터	2023.06	
동대문구	고장우산 수리	분리배출이 어려운 우산을 위한 수리 서비스 ⦁ 1인당 2개까지 우산 무상수리 ⦁ 고가의 우산(골프우산, 수입우산), 자동우산 버튼 수리불가 ⦁ 물품에 따라 소정의 재료비 발생 가능 ⦁ 현장 선착순 접수 ⦁ 수리물품 보관불가 ⦁ 접수물량이 많을경우 조기마감	2024.07.02~10.31, 평일 10:30~16:00(접수마감 15:30, 물품회수 16:00 까지)	동 주민센터 순회운영 (자세한 순회일정은 동대문구청 홈페이지 확인)	2024.07	https://www.ddm.go.kr/www/selectBbsNttView.do?key=198&bbsNo=38&nttNo=151400
동대문구	칼, 가위	칼갈이, 연마 서비스 ⦁ 1인당 칼,가위 2개까지 수리 ⦁ 고가의 칼이나 가위 연마불가 ⦁ 칼과 가위는 반드시 칼집 또는 신문지로 포장하여 안전하게 지참 ⦁ 물품에 따라 소정의 재료비 발생 가능 ⦁ 현장 선착순 접수 ⦁ 수리물품 보관불가 ⦁ 접수물량이 많을경우 조기마감	2024.07.02~10.31, 평일 10:30~16:00(접수마감 15:30, 물품회수 16:00 까지)	동 주민센터 순회운영 (자세한 순회일정은 동대문구청 홈페이지 확인)	2024.07	https://www.ddm.go.kr/www/selectBbsNttView.do?key=198&bbsNo=38&nttNo=151400
동작구	종이팩	종이팩 2kg 당 ⇔ 화장지 1롤 ⦁ 멸균팩 수거가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출	연중	동 주민센터	2023.11	
동작구	투명페트병, 알루미늄 캔(무인)	동작구 투명페트병, 알루미늄 캔 무인 회수기(네프론) 운영 투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장	24시간 운영	동 주민센터 및 접근성이 용이한 장소 23곳 (자세한 위치는 동작구청 홈페이지 또는 앱 내에서 확인)	구청 메뉴	https://www.dongjak.go.kr/portal/main/contents.do?menuNo=201563#n
동작구	아이스팩	"아이스팩 재활용사업 확대를 통한 폐기물 처리 비용을 절감하고 
아이스팩을 재활용하여 환경오염 발생 경감을 위해 아이스팩 수거 사업 진행 중"	상시 이용가능	동 주민센터 및 접근성이 용이한 장소 56곳 (자세한 위치는 동작구청 홈페이지 에서 확인)	구청 메뉴	https://www.dongjak.go.kr/portal/main/contents.do?menuNo=201591
마포구	종이팩	1kg 당 ⇔ 화장지 1롤 ⦁ 멸균팩 수거가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 수집량 안내(1kg) 200ml = 120개	연중	동주민센터		
마포구	소각제로 가게	⦁ 플라스틱, 페트병, 캔, 비닐, 종이, 스티로폼, 의류 등 수거 ⦁ 지점에 따라 현금 포인트 또는 종량제 봉투 증정 ⦁ CO2CO(씨오투씨오) 앱 설치 필요	지점별 상이	마포중앙도서관, 레드로드 R1, 용강동주민센터, 마포아트센터, 망원1동주민센터, 마포구민체육센터, 망원1차대림아파트 총 7곳 (자세한 사항은 마포구 블로그 참고)		https://blog.naver.com/prmapo77/223542381164
서대문구	종이팩(무인)	서대문구 종이팩 무인 회수기 운영 종이팩 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 오늘의 분리수거 앱 다운로드 후 이용 ⦁ 200포인트 이상 적립시 모바일 쿠폰으로 교환가능	상시 이용가능	리앤업사이클플라자, 서대문구 육아지원센터, 두바퀴환경센터, 천연동주민센터, 연희동자치회관	2024.01	
서대문구	투명페트병(무인)	서대문구 투명페트병 무인 회수기(네프론) 운영 투명페트병 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장	상시 이용가능	리앤업사이클플라자, 동 주민센터(충현동, 연희동, 홍제3동, 남가좌1동, 남가좌2동), 홍은중앙소공원	2024.01	
서초구	종이팩	종이팩 1kg 당 ⇔ 화장지 1롤 및 종량제봉투(20ℓ) 또는 서초코인 5코인  ⦁ 수집량 안내(1kg) 200ml = 100개, 500ml= 55개, 1000ml = 35개 ⦁ 멸균팩 수거가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출	연중	동 주민센터	구청 메뉴	
서초구	종이컵	종이컵 1kg 당 ⇔ 화장지 1롤 및 종량제봉투(20ℓ) 또는 서초코인 5코인  ⦁ 수집량 안내(1kg) 소형(자판기용) = 300개, 대형(커피전문점 용) = 70개 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출	연중	동 주민센터	구청 메뉴	
서초구	기타 종이류	신문지 8kg 당 ⇔ 화장지 2롤, A4용지 5kg 당 ⇔ 화장지 2롤	연중	동 주민센터	구청 메뉴	
서초구	투명페트병(무인)	ㅁ	연중	첨부된 링크에서 위치 확인	구청 메뉴	https://www.seocho.go.kr/site/seocho/04/10414041600002022082502.jsp
서초구	투명페트병(무인)	서초구 투명페트병 무인 회수기(네프론) 운영 투명페트병 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장	연중	첨부된 링크에서 위치 확인	구청 메뉴	https://www.seocho.go.kr/site/seocho/04/10414041600002022082502.jsp
서초구	아이스팩	아이스팩 재활용률 향상을 위해 재활용 가능한 젤타입 아이스팩 수거	연중	서초구 관내 341개, 첨부된 링크에서 위치 확인	구청메뉴	https://www.seocho.go.kr/site/seocho/04/10414041500002021100804.jsp
성동구	종이팩(무인)	성동구 종이팩 무인 회수기 운영 종이팩 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 오늘의 분리수거 앱 다운로드 후 이용	상시 이용가능	첨부된 링크에서 위치 확인	구청 메뉴	IoT 스마트 종이팩 분리배출함 이라고 명칭
성동구	투명페트병(무인)	성동구 투명페트병 무인 회수기 운영 투명페트병 1개당 ⇆ 10포인트 ⦁ 내용물을 비우고 물로 헹궈 건조 후 라벨을 제거하여 제출 ⦁ 오늘의 분리수거 앱 다운로드 후 이용	상시 이용가능	첨부된 링크에서 위치 확인	구청 메뉴	IoT 스마트 페트병 분리배출함 이라고 명칭
성동구	담배꽁초	담배꽁초 1g당 ⇆ 30원(최소 200g 이상부터 보상) ⦁ 무단투기된 담배꽁초를 수거하여 관할 동주민센터에 제출 ⦁ 무게에 따라 보상금 지급(월 최대 9만원, 연 최대 45만원) ⦁ 이물질이 섞이거나 젖은 담배꽁초는 계량시 50% 차감	’24. 1. ~ 12. (예산 소진시 사업 종료)	동 주민센터	구청메뉴	https://www.sd.go.kr/main/contents.do?key=5030&
성북구	종이팩	종이팩 1kg 당 ⇔ 종량제봉투(10ℓ) ⦁ 수집량 안내(1kg) 200ml = 100개, 500ml= 40개, 1000ml = 20개 ⦁ 멸균팩 수거가능(단, 일반팩과 멸균팩을 구분하여 수거) ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 거주지 동에서만 참여 가능(신분증 지참 필수) ⦁ 1인 1일 최대 10매까지 교환가능	2024.03~12(예산소진시 조기종료 가능), 매주 수요일 9:00~16:00	동 주민센터	2024.03	성북 자원순환데이 라고 명칭
성북구	폐건전지	폐건전지 15개 당 ⇔ 종량제봉투(10ℓ) 1매 ⦁ 크기무관(AAA,AA,수은전지,보조배터리 등) ⦁ 거주지 동에서만 참여 가능(신분증 지참 필수) ⦁ 1인 1일 최대 10매까지 교환가능	2024.03~12(예산소진시 조기종료 가능), 매주 수요일 9:00~16:00	동 주민센터	2024.03	
성북구	투명페트병	투명페트병 15개 당 ⇔ 종량제봉투(10ℓ) 1매 ⦁ 크기 및 종류 무관(생수병, 음료수병 등)  ⦁ 내용물을 비우고 라벨을 떼어 찌그러트린 후 뚜껑닫아 제출 ⦁ 거주지 동에서만 참여 가능(신분증 지참 필수) ⦁ 1인 1일 최대 10매까지 교환가능	2024.03~12(예산소진시 조기종료 가능), 매주 수요일 9:00~16:00	동 주민센터	2024.03	
성북구	투명페트병(무인)	성북구 투명페트병 무인 회수기(쓰샘) 운영 투명페트병 1개당 ⇆ 5~10포인트, 3000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 라벨과 뚜껑을 제거하여 제출 ⦁ 리턴 앱 다운로드 후 이용 ⦁ 리턴 앱에서 사용 가능 여부 확인 후 방문 권장 ⦁ 하루 최대 30개 적립 가능 ⦁ 1.2L 이하 페트병 = 5포인트, 1.2L 이상 페트병 = 10포인트	24시간 운영	성북구청, 성북구민회관, 석관레포츠센터, 구민체육센터, 장위1동 주민센터 5개소	구청답변	5대 추가설치 예정
송파구	종이팩	종이팩 2kg 당 ⇔ 화장지 1롤 ⦁ 멸균팩 수거 불가능 ⦁ 내용물을 비우고 물로 헹구는 등 이물질을 제거하고 말린 후 분리배출	평일 9:00~18:00	동 주민센터	구청메뉴	
송파구	투명페트병	투명페트병 25개 당 ⇔ 종량제봉투(10ℓ) 1매  ⦁ 크기 및 종류 무관(생수병, 음료수병 등) ⦁ 뚜껑유무 무관 ⦁ 어린이음료, 테이크 아웃 잔 수거불가 ⦁ 내용물을 비우고 라벨 제거 및 압착하여 제출 ⦁ 1인 1일 최대 4매까지(페트병 100개) 교환가능	2024.03~11.29(예산소진시 조기종료 가능), 매주 목요일, 금요일 14:00~17:00(각 동별 수거요일 확인)	동 주민센터	구청메뉴	동 별 교환요일 확인 https://www.songpa.go.kr/www/contents.do?key=6099&
